Reviewer,Review
Henrique G,Average in every regard. I've flown with them several times and never had an issue. I did appreciate the Captain allowing us to enter the cabin to see K2 on or way to Skardu.
b_town87,"I travel 3 to 4 times a year on various air lines. Never experienced anything like this, quite easy to understand why pia is so disliked. No communication when flights are delayed, refuse to speak to customers when wanting to know more information, hang up when you call their call centre. For some reason the pia employees pretty much most but not all, seem to think they are doing their customers a favour, very strange mentality. Surprised they still operate!"
HARAM N,Flight was delayed for nothing. Boarding was ok Customer service was ok with air staff extermely tired. Food was ok. The aircraft was dirty. Flight attendants were tired because of the schedule.
urstilful,"Absolutely pathetic customer service, flight delays are the norm. No inflight entertainment. Poor food quality. Absolutely irresponsible behaviour when it comes to communicating major flight rescheduling and delays to the passengers without any regard for how it could impact their work/ plans. Did I mention absolutely terrible customer service?"
mr t,total horror. there is NO in flight entertainment for last 5 years now. always feels like plane will drop out of sky. decor is old and disgusting. there arw small children jumping up and down on the plane wing seats the whole journey. there are no blankets also and passengers fight about blankets. you see all the interior shaking to pieces also disaster just waiting to happen.
mhbalghari,"great people to fly with PIA. On time the crew is friendly ,the food is very good food and the captain landed very nicely and than from Islamabad to sakardu i travel with pia which is great experience . I recommended the air line to friends and family GREAT PEOPLE TO FLY WITH PIA"
acpsa452,"Flight got delayed twice in a row, maybe it was due to bad weather. Anyhow, overall experience of PIA is not that bad."
Waheed Zafar,"Although it has no bells and whistles but has the shortest travel time food service on trolleys with lovely choices delicious. Most importantly it costs around £1300 as opposed to others airlines charging £3000 to £4000 ,for same route and much poor food choices. I am happy to buy drinks and watch movie on my laptop mobile if I can buy tickets at less than half price"
badarulislam961,"i'm writing email been last 35 days and did not get any response from them because even they don't want to look there work(i believe). I book my ticket 4th June cancel on 5th June and as per PIA policy i should get money back within 15 to 20 days, don't you believe that still i'm waiting for that. i know that i have done mistake to book ticket and i think its enough to be patient. i'm sure even they don't care about reviews but i would keep writing until i will not get my money back."
Oliver T,"My flight from Lahore to london was not the best, but to be honest I didn’t care that much, but the thing I was really upset was that in my food there was a hair!! I told the air hostesses about it and they didn’t care much, they told me it was unacceptable and they will write it down in the logbook, but no claim papers. This company is a total joke. I will never flight with them again"
Farooq S,"Traveled from Dammam to Islamabad a couple of times during this year. There is nothing impressive about their service. The staff is reasonably well trained but the planes are old and the seats are highly uncomfortable. The only good thing was their direct flight service and comparatively better fares. They have a strange policy of no infant baggage allowance from Islamabad to Dammam sector, dont understand the reason for doing this."
Omer.RON,"Flight was on time. PIA Management confirms the departure time via sms hours ahead from departure. In case of delay, some one can manage. Good Fares and excelelnt meals. Keep it up PIA , we love you :)"
Faisal B,"I travelled to Pakistan on PIA in Business class ( i got a free upgrade!) And the service was impeccable. The crew were down to earth, very friendly and helpful. They ensured our journey was tailored to our specific needs even though we didn't ask for much but seriously in all honesty the service was great as compared to what the critics say. The food was amazing and overall the journey was a smooth one and time passed fairly quickly. The seats were comfortable and relaxing as well. I would highly recommend flying with this airline especially to a beautiful country, Pakistan. The nature and culture and the beauty that the nation boasts is of very special importance. There are many places to visit to enjoy the richness of culture and relaxation from the high mountain top settlements in Murree to the bustling streets of Lahore (Food Street)! Amazing country and national flag carrier of it."
warytraveller2018,My flight was manchester to Lahore via Islamabad. There was a few hours to wait at Islamabad for the connecting flight. The flight was constantly cancelled or delayed then started again. This happened all day till 11-12 hours later. Nobody bothered to let us know what was happening or what we could do. We were not helped at all by PIA for proper meals or refreshments or a hotel. When we asked for a refund the desk clearkbtold is to go into the city and get a agent to sort it. This was 1800 hours. We had arrive there at 0800 hours ! Our plane took off at 1030-1100 hours. It was an absolute joke. We later realised the plane had been deliberately kept waiting so other passengers could arrive ALL DAY! We had just been led on all day with the desks stories and lies. They did not treat us right. They inprisoned us and let us suffer. They should not be allowed to do this.
AliJouhar,"Dirty n damaged seats with chocolate wrappers inside seats pockets left from preceding flight... On Flight Air Hostess were grnerally found non-welcoming, rude, unpolite and lazy."
Imti Y,I am a frequent flyer mostly from london to Islamabad and been regularly flying 5/6 times a year from last 20 years In my opinion PIA staff is doing their best to provide good service. Flight leaves arrives pretty much on time. Inflight facilities are bit poor but it's not staff fault at all. It's the airline responsibility to provide good food/ entertainment/ passenger comfort supplies. We shouldn't blame the staff they will offer what they were provided. They can not bring qeema/allo parathas/pillo blanket from their homes to supply to passengers. I found air crew very helpful and cooperative through out the flight. But we have some stubborn and mooning passenger who compare our flights with emirates and eitehad. No one is forcing them to use PIA.
Asad H,"Good direct night flight. Food moderate, inflight entertainment screen was not working. Overall average."
Vikan K,"We were traveled in group from Thailand about 28 people from Isalamabad to Gilgit on May 27th, 2018. We planned to travel up north to the China border in Khunjerab for another 3 days. The flight was pleasant but it ended up that about 10 people in out group did not get their luggages. Some of us could get their luggages the next day but not three still could not and one person could not get until the end of the trip (5 days trip). How awful and even worse that the airline did not take any responsibility. No compensation as per applicable convention or law as it said on the airline information. Not even the word of apology! If you plan to fly this airline I suggest you to carry-on your baggage or at least prepare some needy items with you."
imasadkhan4,Excellent service Some of the local flights in world who serve time related food stuff free of cost
azhar443,"I figure I'll just mention my experience in point form below which sums it up accurately: - 2 hours delayed in Toronto with no staff updates or explanation - ripped and stained leather seats (my wife's seat didn't recline) - entertainment system didn't work on most biz seats - no ammenity kits - business meals were served out of aluminum trays, no concept of presentation, culinary innovation or experience - blankets that were distributed were sprayed with cheap air freshener, they weren't wrapped in plastic so they were likely recycled from the inbound flight - the only redeeming point was the use of the KLM lounge in Toronto which was decent"
Oktay İ,"I am a frequent traveler, I have used many airlines including budget airlines Wow air, Wizz Air, Ryanair and so on but PIA is the worst of all. The plane is dirty, old, smells bad, crappy food (only one option) and it was late for 50 minutes. I will never use this airline again"
Mask Girl x,Was utterly disserpointed to have sat on such an airplane the airplane itself is filthy and very old. Looks like it will crash. The flight attendants are rude nothing compared to Emirates economy class if you are going to Pakistan or anywhere and PIA is an option dont choose it you will be disappointed
bilahm2,So much better than what i had been told or expecting.. I usually sleep through my flights and had three seats in business to myself.. Would never take pia on a long haul.. But a three hour flight was not too uncomfortable.. Plus it was nice to fly my national carrier..
Arsalan Mansoor,"No entertainment even though screens are installed, won't give you head phones. Don't understand the logic of that. Food is poor and next to nothing offered. The only decent thing is the people, who are very sweet and kind from the entry into the airport."
bal00mna,"First, my flight was 9pm but i'm bot sure which airport to depart. After I checked i found out that my flight were canceled without imforming. I got a new flight at5pm. Theb postpone to 7pm and yeah again postpone to 10pm. Postpone 3 times in a row. Never onboard with them again. Staff was terrible, she make me feel like she don't want to come to work. So sick."
Immad A,"First of all, as an aviation Enthusiast, I was very happy with the plane as it was my favorite one,Boieng 777-240ER.The cabin crew was quite friendly. I wasn't expecting this but they really have improved much. Go PIA!"
Babar W,"seats were very good and comfortable and service is much improved, polite and friendly staff and it was on time"
Rubab Daha,"We were not expecting our experience to be this great. We went with no expectations but received the best service. I had always heard and read negative feedback but our experience was totally opposite.It was a Hajj flight and we traveled on 14th August 2017. They served us these mini cakes with Pakistan flag on it. i am sharing the picture here. Staff was extremely helpful and courteous. On our way back from Saudi, I asked the air hostess that why were they not serving meal and she said that ""Ma'am most of the passengers are sleeping and we would rather wait than disturb their sleep"" They waited and then served an excellent meal."
Anila94,"Our flight from Birmingham to Islamabad went smoothly, but the experience with staff was terrible! The check in desk was fine. When we got on the plane, we were welcomed nicely, but when the flight had taken off, the staff had taken a totally different turn. They walked around with a frown on their faces and were not professional at all. The seats were average, not exactly comfortable for a 7-8 hour flight.. As a person that suffers from travel sickness, I always stay away from the food they offer. The air host offered me dinner and I refused politely. The same air host started to serve breakfast in the morning and started forcing me to have the breakfast when I had clearly refused! Was not happy at all about that... The last 4 hours of the flight was a nightmare, my travel sickness had kicked in. There were no sickness bags on the seats close to me, and I didn't have a decent bag of my own. My father went to ask for a bag and told them there were none at our seats.They clearly refused saying that there are bags at the seat and didn't give us a bag. They saw that I was very unwell and didn't help at all! Baggage claim at Islamabad is like always, crazy! We waited a good 2 hours for our bags and then realised they changed the belt without informing anyone.. It only gets worse from here.....Never again PIA!"
Frankel18,"DO NOT BOOK!! The service and flight was what I can only describe as horrendous. Some of the female staff and one in particular had such a poor attitude as though she didn’t want to be there, she was rude and unhelpful. The plane was one of the really old ones that have like card board seats, uncomfortable and clearly not fit for a long haul flight. If only PIA had more competition by way of alternative flights offered by other providers maybe that would make them pull their act together. In the 20th century I would expect updated seating and facilities on the plane with staff that have manners, a trolly of food and drinks people can purchase from is the very basic one would expect on a long haul flight and is offered by many airlines but not PIA if you’re lucky they will come around with a bottle of water filling up a tiny paper cup for you! The food is disgusting and I’m surprised that it meets health and safety standards! I couldn’t wait to get off the flight and can assure PIA I will never be traveling with them again. The amount of money you pay to book a seat with PIA will not meet basic expectations or satisfactory level of service, don’t waste your money try to book with an alternative airline!!"
Aruff K,Travelled PIA after 14 years and it seemed like i sat on exactly the same plane. Nothing had changed! the screens were not working then and were not working this time. The hospitality was poor and they encouraged everyone to sleep for most the flight by switching the lights off. A forgetful experience!
nchammmer,"Smooth flight, busted seats, no onboard flight entertainment systems, however really unprofessional stewardesses whose follies provide live entertainment. Would fly again due to lack of choice and if it saves time. They have a terrible rewards program!"
kemcolian,The flight was delayed upfront by one hour and then left even later; but at least it was not as bad as some of the colleagues and friends narrate on other routes traveling very recently
AqeelAhmad,"It was a direct domestic flight from ISB to CJL and upon arriving in Chitral, we found out that our checked luggage did not arrive. After several attempts of asking/begging/requesting the PIA staff at Chitral airport, they called Islamabad and told us that our luggage was offloaded and will arrive in the next flight (5 days later). That is on the day, we were scheduled to fly back. They refused to do anything about it. The most horrible vacation of my life followed. Later we found out, it happens routinely on this flight."
muzaffarkarim,"the only best part of this flight was a direct-journey from karachi to Toronto, approx 14 hours flight. the legroom was usually, but there was no inflight entertainment as majority of the screens in the plane were not working. the staff was polite but the food served was not tasty at all and the quantity was less for such a long flight. the cleanliness of the washrooms was compromised. only good for elderly, as its a direct flight."
Riz Van H,"Have good airplanes and flight schedules and itineraries. Food is also above average compared to many others. Can improve a bit on Courtesy level, and customer support focus of the staff and food quality and options."
notacanada,"Within 1 month I flew 5 times with PIA. This was the most unexpected, fun and crazy flight. Once in the air, women were offered flower bracelets and bangles, men a little black box. Ladoos were passed around while movie tunes were blaring and male passengers were dancing in the aisles. I was the only non Pakistani on the flight and did feel the time pass that I had to disembark!"
notacanada,"The flight was preboarded with 75% of the passengers which did not leave much room in the upper luggage compartments. Video/wifi could not be watched. After standing in line for 3.5 hours without being able to check in, we were told that the lounge would be open and refreshments served, 1.5 hours later. I had to go once more through security though the lounge was past the control line. When the check-in at last opened there was a rush with angry people jumping lines, it took another 2 hours and then I had to carry my suitcase to another counter as the luggage belt was not working. The plane was delayed by over 3 hours and no explanation was given. One of the flight attendant should not have been in passenger service. On the + side it is the only airline with direct flights from Toronto to Lahore and the luggage allowance is of 28 kg versus 23 kg for most airlines"
Lordyousaf,Use to be the best. The management is a disgrace who don’t do enough to keep the entertainment in plane working. Most staff are great some still need educating how to serve the travelers.
Maher Ihsan U,"not worth at all , broken seats, broken seat recliner button, broken phone charge plugs, smelly blanket , worse food ,acutely noting good with PIA but the crew was very nice and helpful and if you complain about suff they nicely with beautiful smile say they are praying and hope it will get better . it make me feel really sad why our crook vulture leaders did this our nation airline which one time was the best airline."
NottsTTravel,"I have heard in the past that PIA used to be a top airline company but sadly my last 2 trips have been extremely disappointing. I traveled with PIA couple of years ago visiting my family and despite the price the service was just bad so I travel with Emirates. Recently again reluctantly booked PIA from London to Karachi and the same old staff. Not even a smile or thank you. Asked for headphones for the screens and the stewards just said ohh they don’t work, not even apologised, asked for coffee with breakfast the lady said to ask the other steward on board. None arrived so asked for tea and was told the service was over and I should get some at the airport. My mistake for not sticking to Emirates but this is it no more PIA for me. Kind of sad because PIA is our national carrier but it is just bad service and aggressive staff on board."
Ken_doll_dubai,"I always heard about PIA negative feedback, but I was truly surprised with experience i had, I must say staff was extremely customer focused, polite and take good care of passenger, food was great and service was perfect , I am myself working in hospitality field on manager lever and to be honest they were trying their best to make their passengers happy , I had flight Steward Arif who was such a great guy and was taking care of me during all my flight, To the management I must say you guys are really getting way way better please keep it up and make it more better and let’s make it one of the best airline in the world Good Luck Best Regards Adnan Zafar"
Nasra S,"Paid £400 extra for business class. Seats were broken, it was relatively full. Moved seats but that was broken too. Food and service were good cabin crew very attentive. Return flight seats were fine but business class was full. My sister and her husband were booked on economy class but both were seated in business class as plane was full. Other passengers too. So was very annoyed when we had paid extra and they got the same service as us for the price of economy class!!"
JHUSOM,"When it comes to Pakistan International Airlines, a lot of people, including locals and foreigners, are skeptical to consider it as a travelling option. Usually, majority of people opt for it after they've exhausted other alternatives and need to meet certain deadlines. To be honest, I felt really sad after making these observations. If I talk about my most recent flight with PIA, I have nothing but praise for this airline. My flight was right on time, the staff was super courteous, food served wasn't bad at all and our captain was able to get clearance from air traffic control to fly via the direct route which meant that we reached our destination earlier than scheduled. The pilot was amazing as he made sure to congratulate a passenger bride on our plane and wish her well for her life ahead. One downside might have been the plane being a little old. As an old passenger who's traveled via this airline multiple times before, I have to admit that the standard might have fallen in recent years owing to a few accidents, depletion of fleet, lack of addition of brand new planes to the fleet and diminishing operational costs. But yes, there is no doubt that Pakistan International Airlines has some of the best pilots and technical staff in the world. I can only hope and pray that PIA can regain that lost trust amongst its loyal passengers and progressively become the airline of choice for most people travelling locally, as well as abroad."
sajjadhussain2018,Flight was in time. In flight comfort was great if compare to other local air lines Pakistan International Airline is an excellent option if you want to travel within country with rich experience & pioneer airline
FrenchTraveller001,"In January 2018, I was denied boarding my PIA KBL-ISB flight connecting to ISB-CDG because PIA hadn't informed me that I needed a Pakistani visa between 2 international connecting flights in Islamabad -which is not the case anywhere else in the world. In Kabul, PIA refused to re-route me on another airline, which any other airline would have done. I therefore had to buy a new ticket back to Paris on a different airline. I was then told by the PIA Afghanistan country manager who I met face to face that he had let all PIA offices in the world know that they should inform passengers with international transfers in Islamabad that they ought to hold a Pakistani visa. I was not made aware of this when I bought my ticket at the PIA office in Paris and was even told at the time that I didn't need a visa when I asked the question. Once I returned back home, I wrote to the PIA France country manager to ask for a refund of the new ticket I had purchased. After having chased him during a month, the latter replied to me that it was not PIA’s responsibility, which I found a totally unacceptable way of dealing with business class passengers. I then escalated the issue to PIA in Islamabad. A senior customer relations officer replied to me that he would investigate. I chased him twice and have not heard back from him 6 weeks later. This way of behaving with business class passengers is totally unacceptable from an airline. PIA should be ashamed of themselves."
crystals001,"Booked a ticket to Islamabad on business class. I normally travel on an alternative airline, Mum was Not well back in Pakistan so decided to go direct on the good old PIA. I Wasn’t expecting Singapore airline service! After all it’s PIA! Cut the chase it’s meal time, and the lights come on in business class (by the way only 2 passengers in BC). I noticed something moving on the seat next to me, maybe tired eyes or fatigue... NOT! It was 2 cockroaches! I immediately pulled out the good old iPhone, after powering it I started to record the sordid creatures having a field day crawling around the seats! Called the half sleepy air stewardess 👩‍✈️ and told her the problem, she said she will call the captain... Captain? (Unless he was an expert on cockroaches!). Anyway the captain turned up with a button missing from his shirt! (He did have his tie on), I showed him the footage of the cockroaches as they had disappeared Into the depths of the seat. He asked me to change seats and apologised. I wrote of To PIA complaints adding the footage of the horrid creatures. To date I have only received one automated email “we have received your complaint and someone shall be in touch with you”. 5 months and several emails to them... NO RESPONSE. SHAMEFUL and disgusting at the least. By the way none of the inflight entertainment was operational on the aircraft. Avoid... like a Plague."
Dastageer,"It was airbus A320 jet, my travel was one way, when I set on seat it was too hard, I felt the seat without cushions. I think now a days no body can imagine a airline seat can be hard as like this. The plan was very old and need a lot of improvement, even though staff was trying to smile and welcome the passengers. Thank God the distance was only 1:45 minutes otherwise it was difficult to travel. There was nothing to entertain the passengers, last year I travelled to Malaysia in a local airline there was TV with channel's for passengers. The food quality was OK. I travelled with this airline only because time was suitable. My next trip with was an other airline. A big difference between PIA and other airline."
201nadeemm,Flight from Chicago to LAX and connecting from LAX to OGG. Seats are uncomfortable . They charge you for everything from watching TV to any snacks. Staff rude. Wait before they will start charging you for the overhead bin to store your personal belongings and slide your credit card to use the bathroom
SA312,"PIA is mostly used by overseas Pakistanis when travelling to Pakistan because it is the only airline to fly directly there. As is with any airline, faults can arise. Examples that occurred on my latest flight were . Check-In can only be done at the airport for International flight, not online (Other airlines do the same too for international flights) . In-flight entertainment did not work on my seats on the outbound journey (It has happened on carriers like BA,Saudi, RJ for me) . Delays - (Unavoidable on any airline) The point of this is that simply calling PIA bad because such things happen is unfair. That being said there are issues that need to be addressed e.g. . If the flight is delayed as mine was do not just contact the Pakistani number on the booking, also e-mail the customer . If a flight is delayed, a reconfirmation of the seats should not be required That being said buying my tickets online was easy enough once I had all the information required e.g. Passport Number, Visa Number. There should be an option to allow you to input the information later. Check-in on the outbound journey to Lahore was easy as our luggage was not overweight. Boarding was done in reverse order which made the process easier than normal. I was pleasantly surprised at seeing how much legroom there was. Being tall boarding planes of late has been a pain, especially with certain airlines continually reducing their legroom (I'm looking at you BA). I was overjoyed that I had ample legroom on a long haul flight. The food was good. There was also the option of non-spicy food for children however my children took one look and chose the traditional meal instead. Customer service from the attendants was good, which made my flight a pleasure. Based upon my experience on PIA I will definitely use them again. P.S: On an unrelated note sometimes the behaviour of Pakistani passengers can be appalling. The way they address the staff is embarassing. A little bit of respect can go a long way. Why if you want to adhere to all the rules when living in the UK do you throw all that away and regress into uncivilised behaviour."
mojad1975,Took a flight with PIA what a nasty experience never again staff are rude the food is nasty. People line up to use the toilets but only to smoke in them. The airport on the other end it's like a zoo sorry that's me being unfair to animals. The staff at the airport are only after money and what they can get out of you never again
AKK2050,It is not that I did not want to fly with PIA but it is the destinations I flew where PIA did not fly and could not provide a direct non stop connection. I always had fly a foreign airline and waste so much of time in lay over. Now I flew straight to Karachi in 6 hours and it was like home to home and door to door journey. Left on time and arrived on time. Food was great but disappointed to see Indian movies on the entertainment menu. Please put your own movies especially that we all liked from 70s and 80s. Service was impeccable and I was truly impressed. The uniform is beautiful especially with their genuine smile. Please again to New York and LA so we can fly with you. You have our support as our national airline. Well done and Good Job to all.
Saema S,I have been travelling with PIA for the past few months on monthly basis. The condition of their aircrafts are becoming worst. The service they are providing is very bad. food quality is going down day by day.
Uzma K,"Please read if you are disabled and thinking to fly with PIA As a disabled passenger who is fully dependant on my wheelchair and suffering from Multiple Sclerosis I chose to fly with PIA thinking I would be in good hands. I made several calls to the airline to make it evident I would require leg room as my medical condition requires me to keep my legs levitated when I am sitting for extensive time periods and I was advised this information would be noted and I would have priority when boarding the plane. Unfortunately, this was not the case when I arrived at Heathrow Airport. To my disappointment I was told children have priority and there was no note of me calling several times to request and ensure this information was noted. My flight to Pakistan was not only uncomfortable but I was in extreme agony which did not help my condition. There was no remorse or any sympathy shown by the crew at the time and I am very disappointed that I chose to fly with PIA. My stay in Pakistan will now be filled with distress and anxiety as I am now extremely apprehensive to return to the UK on PIA but now that I have booked a return flight I will need to endure this painful experience again. I am very upset and stressed about the fact my medical condition was ignored and not taken into account by PIA. I felt I had been discriminated against for my medical condition and feel as if I was an inconvenience for being in a wheelchair and choosing to fly. I should not have been made to feel like this because of my medical condition and I feel as if I need to take this further to ensure other disabled passengers are aware of the painful experience they will endure if they choose to fly with PIA."
umarkayani ,"In my previous review of PIA you will see how annoying the booking process was and that I had given up on any plans to go. A few days later my Father-in-Law got us some reasonably priced tickets from somebody he knew and off we went. Check-in at Heathrow Staff were extremely helpful and very friendly. They were efficient and got us sorted in next to no time even though we checked in over 100KG of luggage. The check-in experience had a very homely feel as opposed to the highly professional/formal service you get from Emirates etc but was nice in its own way. Flight London- Isb The flight was surprisingly pleasant and homely with competent staff who were clearly enjoying themselves and providing a fantastic service given their limited tools. There was lots of banter between them on who providing the better service and working hardest which translated into a cheery and efficient service. The staff took time to play with my baby daughter and there was a sense of community on the flight which was really nice and gave me a good positive Pakistani experience after all the headache I had previously encountered. Only qualms were that they didn't have enough bassinets and I ended up giving mine away to somebody who needed it a lot more than I did and that the entertainment system wasn't working but if they had both of these things then I don't think I would have had the pleasant community experience that I did. On arrival in Islamabad, it was the same experience that I've been getting since childhood with the same old shuttle bus, gaumless passport control staff, those annoying porters and waiting around an hour for my luggage which did make me shout at a couple of airport staff but they've heard it all before so you just have to grin and bear it as its part of the experience. Isb to London Checkin was surprisingly easy and the airport staff even loaded suitcases on to the luggage belt. On the downside, you get searched, bags scanned etc way too often but we made it through to the departure lounge quickly enough and the flight left bang on time. The flight was OK and the entertainment system was working too. We arrived back to a very busy Heathrow but it was a pleasant trip overall. PIA is never going to be an Emirates as they have a monopoly on the route being the only direct flight to/from Pakistan but so long as they keep things at this standard as a minimum then it's bearable as flying Emirates, Etihad, Turkish, Qatar etc takes significantly longer with all the connections etc. The food wasn't brilliant but nobody expects a Jamie Oliver or Gordon Ramsey inspired meal on PIA."
trip p,"i travelled with pia from LHR to ISB a couple of weeks ago. Flight was on time , checkin was proper and on time. Seats of 786 are comfortable but costomer services and food are just average. If you need adirect flight then its good but not as much comfortable as many others are."
201nadeemm,Flight from Karachi to Islamabad. Staff pleasant and welcoming. Service was great. The captain keep us updated as the Islamabad airport was closed due the traffic. Plane left on time and did get at the destination on time. This is much better experience than a few years ago when I flew from Paris to Islamabad. I am pleased that they have made some changes to improve the service
riahmad,"Its the usual story, poor service, indifferent attitudes, disrespect towards passengers and finally the impressive ""Don't care"" attitude with constant defense of ""all lies"". The new addition is massively delayed flights with no up to date information to passengers. Infact nobody wants to take the ownership of any problem and brilliantly causing misery to the passengers. I can continue with stories for hours but its not worth it and in a nut shell I would advice to take the risk nationally and internationally on your own. I have tried both ends and remain extremely disappointed. The cleanliness id sickening and unfortunately so is the food quality. Very Disappointed repeatedly !!"
Dubai T,"I was traveling to Islamabad from DXB all the time I'm flying with Emirates Airlines butt it was fully booked no seats available then I found seat in PIA and i done big mistake ever in my life to them, nothing was perfect too much smell inside even it was not easy to take breath, I'll never travel with them again and i'll not recommended to anyone be aware with PIA Pakistans Third Class Airline. Not Recommended"
donnie1965,"My flight was Malaysia to London via Karachi for a 4 hour transit. On check in I told the PIA staff I wanted my bag sent to the correct aircraft both at KL and again at Kurachi.... they laughed and told me there would be no problem and that my bag would be at Heathrow on the same flight as me. Heathrow and I'm told my bag is currently in Lahore and will be another 24 hours before it can be placed into a flight to London Heathrow. 2 weeks later I receive my bag; it's been opened and now has a yellow plastic security tag keeping it sealed... there are no documents to say why my TSL met padlock has been removed (and missing). I discover several items missing from within my bag which include a decent set of headphones; 2 x micro memory cards (64 gb and 16gb) and a pair of branded sunglasses (not fake). Two packets of tobacco were also missing (100 grand total). Now I fully understand there are numerous agencies involved in the movement of my bag between KL and Heathrow, but,,,,,, if I hadn't gotten on PIA flight then I wouldn't have lost my bag in the first place; it being sent to another destination opens up the possibility of it being opened with authorisation and items stolen from that bag...... these items were well packed and to find them would mean someone ransacking my bag. I wouldnt go near PIA again; I was told not to use them by several friends and I should have listened to that advice. The customer service was disgraceful and ultimately I ceased all contact with them with regards to my stolen items.... at the time I returned home after 3 years travel due to personal family circumstances which on its own was stressful. Lesson learnt......"
Arslan K,"Please save yourself the trouble of flying with these guys, a donkey and a cart would be more comfortable. i do not know where to start, Food is horrible, stewards and stewardesses were snobbish, flight was delayed and seats were horrible."
Rashid A,"In time flights, improved customer service, direct flight, smooth take off and landing but no on board entertainment. Good meals in flight. Friendly flight crew. Good value for a direct flight. Could do better with fixing their TVs."
Bilal M,"Got the seats that we had already booked online. The flight departed on time and reached 20 mins earlier at Kuala Lumpur. That was the only available direct flight from Karachi to Kuala Lumpur. The ticket was the most economical among other airlines. Food was served twice and it was delicious. Overall, it was an amazing experience."
patronus.stag,"I have heard lots of negative reviews about PIA. I chose to fly this one as it gave me the quickest route into Lahore and return. Have to say it was great all the way. Now you have to lower your expectations when you travel a budget airline, however it was not a disappointment. Aircraft is clean, seats are standard (although I must say they are running the newer aircrafts on this route as the interior looked fresher). You get a standard meal, soft drinks are offered multiple times along with tea/coffee. Bets part is you don't have to stop anywhere and change aircrafts so no time wastage, its a direct flight which helps save time."
Farah120,Flight departed on time ground staff was very helpful in London and Karachi airport. Cabin crew were extremely helpfull and friendly. I wish if they can improve in flight entertainment and temperature it seem aircon dosent work .
Hashmi H,Direct flight to toronto with. Good average food. Fast arrive. Cheap flight but they dont allow to buy oneway ticket if our visa only tourist visa. Staff not really nice. Fly with child and get free sit to make my child sleep comfort..
Moiz M,had a great flight with great food and hospitable staff...a total value of money and a must experience for all.
Traveler,"Decided to travel PIA after 12 years! why? as its a direct flight and knowing that its going to cause us grief we took the chance. 1. Lhr to Lahore - flight was cancelled on 15 November the day of travel and we were asked to go on 14 or 16 November 2. Lhe to Lhr - flight on 2 Jan was changed to fly out at 1.30 pm a month before departure, no explanation. 3. Lahore airport - nightmare experience by PIA staff, Immigration, Customs and porters. everyone, yes everyone of them wanted some money just to do their job that is to get us onto the flight. After bribing a few people we were allowed into the departure hall. 4. The flight was 30mins late departing, and 4 toilets werent working, it was a full flight. At times stewards cleaned the toilets but didnt replace any tissues or toilet rolls. 5. I spoke to Asma senior purser, who said to provide feedback online to PIA. 6. I sent in a feedback email to PIA and its day 7 NO REPLY has been received. 7. Moral of the story PIA (Perhaps It Arrives) lives up to its name, bad seats, broke TV sets, awful food, awful service, miserable staff so just take a connection, yes it will take longer but you will arrive refreshed. 8. The officials however, will still approach you whether you are Etihad, Qatar or Emirates, they will always try and get some cash off you. Disgusting!"
Seth L,"A year ago, I was returning to China after a short trip to Japan, and I picked the cheapest flight I could find, PIA. While it was cheap, that was one of the few things going for it. While the actual flight was only 3 hours long, we stayed on the runway for 2 hours after its scheduled departure, and waited 1 hour on the plane after we arrived in Beijing. On top of that, the plane seemed a little rickety taking off, hoping that it wouldn't break down, and all the flight attendants' instructions were in Urdu, without much English translation. But hey, at least the airline food was decent."
Saqib R,"I traveled to Bangkok from Lahore a couple of months ago. After comparing fares of different airlines I found that PIA flight was 15000 PKR cheaper than other options. So I chose PIA. I have flown with PIA several times in the past, and I know their service is just average, and my opinion did not change this time. Flights were on time; comfort and service was OK."
Bilal T,"As soon as we took off the pilot welcomed us on board. He told about the route of the journey. Then he spotted beautiful places like lake saifulmalook, lulusar lake, babusar top, nanga parbat, chillas, bunji, haramosh and shigar valley. The journey was very informative and adventurous. Thanks PIA, the national carrier of Pakistan."
DrTomShelley,"On time. We fly PIA because they are the only airline that do direct flights to Pakistan. They also offer very generous baggage allowances, 45kg for economy class to Karachi. The staff are remarkably polite despite some of the passengers they have to deal with. The in flight entertainment system was not working but it was a night flight, so we were more interested in sleeping."
imran s,I have used other airlines that stopover in an Arab country but when I just want a faster direct flight 7.5 hrs instead of 13hrs I use PIA. It isn't great but it gets me there quicker. The seats are shabby and toilets sometimes run out of water and the staff can be rude. Otherwise the food is ok and you get a good baggage limit so that you can take everything your relatives request. I hope they update their planes to the dreamliner which will bring them more customers and improve their service overall.
Kamakazi786,PIA has a lot of negative publicity around it which is not entirely fair. The airlines crew is young and friendly and unlike some Gulf Carriers sturn staff are accommodating. I travelled on its 777 which arrived from Malayasia and while there was a 1 hour delay the captain apologized twice....good to see ownership. There is no in flight entertainment and no giveaways for kids.....this is needed to make it a better airline especially for longer haul flights.
Waheed Zafar,there are no bells and whistles but the service is brilliant and food amazing. the only draw back is poor quality of monitors movies and games. if you take your own iPad and can watch movies this is ideal. price of tickets is half of other airlines and flight times are ideal no middle of night arrivals or departures
